transcript_id,SRR633516,SRR633540,SRR633541,SRR633544,SRR633545
ENSDART00000141283,8,4,0,4,3
ENSDART00000147640,0,1,1,1,1
ENSDART00000135197,0,0,0,0,0
ENSDART00000140398,0,0,0,1,0
ENSDART00000021504,34,22,26,43,50
ENSDART00000054981,62,41,36,29,26
ENSDART00000146333,1,1,1,0,1
ENSDART00000147763,1,0,0,0,0
ENSDART00000114613,61,42,30,115,105
ENSDART00000161791,0,0,0,0,0
ENSDART00000152367,66,41,42,0,12
ENSDART00000192130,0,0,0,0,0
ENSDART00000152148,0,0,0,0,0
ENSDART00000103644,47,24,26,28,27
ENSDART00000148067,0,1,0,0,0
ENSDART00000138324,0,0,0,0,0
ENSDART00000054987,19933,11158,10570,9365,8473
ENSDART00000133319,2,6,7,7,6
ENSDART00000141407,10,1,6,0,1
ENSDART00000135318,9,14,8,5,8
ENSDART00000193041,1,0,1,1,0
ENSDART00000054989,99,79,68,38,30
ENSDART00000152153,23,12,0,0,0
ENSDART00000025604,541,317,316,345,357
ENSDART00000152142,15,10,3,6,5
ENSDART00000103652,118,71,72,54,48
ENSDART00000137900,21,19,22,0,11
ENSDART00000139699,0,2,0,0,0
ENSDART00000136198,0,0,0,1,0
ENSDART00000188035,0,2,2,1,1
ENSDART00000133496,13,12,11,15,9
MSTRG.145.2,0,0,0,4,0
ENSDART00000137211,0,0,0,0,0
MSTRG.145.5,0,0,0,28,5
ENSDART00000184194,0,0,0,0,0
ENSDART00000006211,152,172,88,86,115
MSTRG.145.4,120,9,70,8,7
ENSDART00000146303,0,0,1,0,0
ENSDART00000055023,5,0,3,0,0
ENSDART00000146642,0,0,9,0,7
ENSDART00000132910,0,0,1,1,1
ENSDART00000163624,101,68,46,67,48
ENSDART00000147833,5,0,0,0,0
ENSDART00000081337,246,154,161,238,212
ENSDART00000139516,1,1,1,1,1
ENSDART00000113013,13,10,8,0,6
ENSDART00000142132,7,0,4,0,0
ENSDART00000046507,8,4,5,6,2
ENSDART00000139877,0,0,0,0,0
ENSDART00000145524,0,0,0,0,0
ENSDART00000152196,0,0,0,0,0
ENSDART00000081343,261,165,135,209,188
ENSDART00000141104,5,6,12,5,9
ENSDART00000192174,0,0,0,0,0
ENSDART00000143587,63,36,37,32,30
ENSDART00000182771,0,0,0,0,0
ENSDART00000143336,0,0,0,0,0
ENSDART00000092058,59,33,26,28,17
ENSDART00000147277,2,0,0,5,0
ENSDART00000135219,6,10,10,2,0
ENSDART00000190360,4,2,2,0,0
ENSDART00000166515,82,50,57,34,33
ENSDART00000055011,91,56,64,31,22
ENSDART00000114876,0,0,0,0,0
ENSDART00000132812,0,0,0,0,0
ENSDART00000146065,15,10,7,9,6
ENSDART00000142384,1,0,0,0,0
ENSDART00000055009,136,94,83,112,95
ENSDART00000008682,0,0,0,0,0
ENSDART00000157814,0,0,0,0,0
ENSDART00000137821,49,30,32,42,39
MSTRG.160.2,0,0,0,2,19
MSTRG.160.3,0,14,0,0,0
ENSDART00000110790,276,180,169,139,125
ENSDART00000164079,0,0,0,0,0
ENSDART00000161164,0,0,0,0,0
MSTRG.162.6,0,75,61,73,0
ENSDART00000127735,0,0,0,0,0
ENSDART00000123773,0,5,7,0,0
ENSDART00000111131,31,27,23,18,52
ENSDART00000166601,56,44,36,20,24
ENSDART00000080323,7,0,0,89,0
MSTRG.162.5,114,214,136,4,69
MSTRG.162.7,260,43,77,0,86
ENSDART00000121490,234,64,90,47,52
ENSDART00000160474,3,0,0,0,0
ENSDART00000126996,66,153,96,55,22
ENSDART00000159411,45,20,8,4,2
ENSDART00000016750,141,87,81,92,93
ENSDART00000123725,25,21,22,14,18
ENSDART00000126877,111,0,0,50,0
MSTRG.162.17,55,98,88,38,68
ENSDART00000189621,58,31,37,28,14
ENSDART00000138592,0,0,0,0,0
ENSDART00000147904,120,78,76,137,126
ENSDART00000054848,76,50,28,104,116
ENSDART00000138630,0,0,0,0,35
MSTRG.165.3,0,0,0,0,6
ENSDART00000054843,121,59,67,58,33
ENSDART00000054833,0,0,0,0,0
ENSDART00000135702,60,42,43,43,41
ENSDART00000138726,136,64,72,112,87
MSTRG.167.2,34,56,27,28,29
ENSDART00000005895,0,0,113,0,0
ENSDART00000183003,649,743,522,497,413
ENSDART00000142906,0,0,0,0,0
ENSDART00000144233,0,0,0,0,0
ENSDART00000136257,0,0,0,0,0
ENSDART00000132607,7,0,0,0,0
ENSDART00000143719,0,11,0,0,0
ENSDART00000110749,10,5,12,0,0
ENSDART00000162675,202,98,43,36,139
ENSDART00000113551,51,54,0,0,40
ENSDART00000190227,15,13,128,160,15
ENSDART00000125358,0,0,0,0,0
ENSDART00000054835,245,137,161,153,154
ENSDART00000134835,0,0,0,0,1
ENSDART00000144756,0,0,0,0,0
ENSDART00000133465,0,0,0,0,0
ENSDART00000011701,929,821,763,805,798
ENSDART00000139358,2,3,2,2,5
ENSDART00000135676,0,0,0,0,0
ENSDART00000134913,0,0,0,0,0
ENSDART00000147106,3,0,0,0,0
ENSDART00000148074,1,0,0,0,0
ENSDART00000135522,738,491,524,574,417
ENSDART00000033118,455,542,394,401,498
ENSDART00000172059,0,0,0,0,0
ENSDART00000181437,0,10,0,0,6
ENSDART00000190194,157,108,95,75,83
ENSDART00000168473,16,0,0,10,0
ENSDART00000080576,20,9,18,12,13
ENSDART00000152432,13,0,0,8,0
MSTRG.177.2,0,0,0,0,3
ENSDART00000152424,30,21,20,18,15
